epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10408,0.70473,2.54315,1.33608,0.00333,1,0.18091,0.15184,0.59812,2.97882,1.5143,0,0,0
2,2.41521,1.13583,3.12604,1.63679,0.00333,1,0.18091,0.15184,0.58998,2.96198,1.52068,1.964e-05,1.964e-05,1.964e-05
3,2.65154,1.02822,3.23177,1.3736,0.00333,1,0.199,0.16631,0.59128,2.97848,1.52489,3.856e-05,3.856e-05,3.856e-05
4,2.91905,0.87546,2.57071,1.35338,0.00333,1,0.66333,0.55546,0.63205,2.94249,1.45938,5.676e-05,5.676e-05,5.676e-05
5,3.17724,0.80503,2.41776,1.30145,0.00333,1,0.995,0.8955,0.52207,2.97385,1.37722,7.424e-05,7.424e-05,7.424e-05
6,3.42619,0.6117,2.32423,1.11415,0.00333,1,0.995,0.82079,0.45619,2.93049,1.23699,9.1e-05,9.1e-05,9.1e-05
7,3.6691,0.74511,2.90476,1.49148,0.00333,1,0.995,0.796,0.45405,2.92889,1.23594,0.00010704,0.00010704,0.00010704
8,3.97891,0.6944,2.58397,1.18705,0.00333,1,0.995,0.796,0.41177,2.90397,1.15954,0.00012236,0.00012236,0.00012236
9,4.20556,0.61332,2.12217,1.26907,0.00333,1,0.995,0.84554,0.34928,2.89428,1.09314,0.00013696,0.00013696,0.00013696
10,4.43075,0.7861,2.80583,1.43612,0.00333,1,0.995,0.8955,0.34697,2.84924,1.03822,0.00015084,0.00015084,0.00015084
11,4.66196,0.52454,1.69812,1.08015,0.00333,1,0.995,0.8955,0.34007,2.82866,1.0295,0.000164,0.000164,0.000164
12,4.88699,0.58103,1.89434,1.03143,0.00333,1,0.995,0.77088,0.30753,2.78143,1.02788,0.00017644,0.00017644,0.00017644
13,5.11838,0.38498,1.33288,0.9986,0.00333,1,0.995,0.77088,0.2678,2.70869,1.023,0.00018816,0.00018816,0.00018816
14,5.34654,0.47573,1.555,1.02305,0.00333,1,0.995,0.74609,0.35499,2.68703,1.03314,0.00019916,0.00019916,0.00019916
15,5.57839,0.41491,1.1712,1.10818,0.00333,1,0.995,0.82079,0.3737,2.6495,1.01346,0.00020944,0.00020944,0.00020944
16,5.87806,0.98158,1.69933,1.36732,0.00333,1,0.995,0.796,0.36474,2.65837,1.03784,0.000219,0.000219,0.000219
17,6.10806,0.42188,1.21062,1.06299,0.00333,1,0.995,0.82079,0.41904,2.74628,1.07037,0.00022784,0.00022784,0.00022784
18,6.32256,0.27067,0.88527,0.95958,0.00333,1,0.995,0.82079,0.41904,2.74628,1.07037,0.00023596,0.00023596,0.00023596
19,6.54932,0.50865,1.59569,1.2851,0.00333,1,0.995,0.84559,0.45616,2.74126,1.19361,0.00024336,0.00024336,0.00024336
20,6.75981,0.72219,1.25636,1.17032,0.00333,1,0.995,0.84559,0.45616,2.74126,1.19361,0.00025004,0.00025004,0.00025004
21,6.98203,0.70724,1.45677,1.13212,0.00333,1,0.995,0.72129,0.47323,2.83852,1.15748,0.000256,0.000256,0.000256
22,7.19293,0.63444,0.93243,1.16842,0.00333,1,0.995,0.72129,0.47323,2.83852,1.15748,0.00026124,0.00026124,0.00026124
23,7.41953,0.77159,1.23078,1.65426,0.00333,1,0.995,0.64658,0.51273,2.86268,1.20209,0.00026576,0.00026576,0.00026576
24,7.62885,0.54149,0.92761,1.02691,0.00333,1,0.995,0.64658,0.51273,2.86268,1.20209,0.00026956,0.00026956,0.00026956
25,7.85513,0.55878,1.12827,1.02558,0.00333,1,0.995,0.77088,0.54313,2.90964,1.25488,0.00027264,0.00027264,0.00027264
26,8.13561,0.84305,1.12335,1.25965,0.00333,1,0.995,0.77088,0.54313,2.90964,1.25488,0.000275,0.000275,0.000275
27,8.36382,0.47338,1.04741,1.00033,0.00333,1,0.995,0.74609,0.72746,2.90611,1.37087,0.00027664,0.00027664,0.00027664
28,8.57846,0.50386,1.0736,1.03407,0.00333,1,0.995,0.74609,0.72746,2.90611,1.37087,0.00027756,0.00027756,0.00027756
29,8.80575,0.30563,0.904,0.90273,0.00333,1,0.995,0.74609,0.7825,2.91713,1.42112,0.00027776,0.00027776,0.00027776
30,9.01542,0.3236,1.17746,1.05353,0.00333,1,0.995,0.74609,0.7825,2.91713,1.42112,0.00027724,0.00027724,0.00027724
31,9.24016,0.44743,0.98859,1.03525,0.00333,1,0.995,0.74609,0.73758,2.74346,1.41262,0.000276,0.000276,0.000276
32,9.44844,0.34072,0.89712,0.97807,0.00333,1,0.995,0.74609,0.73758,2.74346,1.41262,0.00027404,0.00027404,0.00027404
33,9.67555,0.42501,0.91739,0.90388,0.00333,1,0.995,0.74609,0.6547,2.51087,1.28136,0.00027136,0.00027136,0.00027136
34,9.88993,1.02469,1.99785,1.1726,0.00333,1,0.995,0.74609,0.6547,2.51087,1.28136,0.00026796,0.00026796,0.00026796
35,10.1193,1.51565,2.22843,2.37427,0.00333,1,0.995,0.8955,0.49493,2.42311,1.11457,0.00026384,0.00026384,0.00026384
36,10.4033,0.67732,1.01453,1.1409,0.00333,1,0.995,0.8955,0.49493,2.42311,1.11457,0.000259,0.000259,0.000259
37,10.6402,0.59361,0.8844,1.15964,0.35772,1,0.995,0.8955,0.38592,2.37821,1.09434,0.00025344,0.00025344,0.00025344
38,10.8602,0.30634,1.05005,1.01689,0.35772,1,0.995,0.8955,0.38592,2.37821,1.09434,0.00024716,0.00024716,0.00024716
39,11.0968,0.54796,1.01909,1.09864,0.74186,1,0.995,0.8955,0.44058,2.33149,1.10905,0.00024016,0.00024016,0.00024016
40,11.3135,0.5192,0.93584,0.86916,0.74186,1,0.995,0.8955,0.44058,2.33149,1.10905,0.00023244,0.00023244,0.00023244
41,11.551,0.82382,1.21174,1.48416,0.8061,1,0.995,0.8955,0.43039,2.30522,1.10523,0.000224,0.000224,0.000224
42,11.7643,0.50592,1.07407,0.96281,0.8061,1,0.995,0.8955,0.43039,2.30522,1.10523,0.00021484,0.00021484,0.00021484
43,11.9974,0.52973,0.88365,1.02594,0.87003,1,0.995,0.92029,0.43111,2.28233,1.09899,0.00020496,0.00020496,0.00020496
44,12.2141,0.67032,1.12029,1.10592,0.87003,1,0.995,0.92029,0.43111,2.28233,1.09899,0.00019436,0.00019436,0.00019436
